# Program:featureCounts v2.0.2; Command:"featureCounts" "-a" "reference/GCF_000013465.1_ASM1346v1_genomic.gff" "-o" "counts/gene_counts.txt" "-t" "gene" "-g" "locus_tag" "-p" "-T" "4" "alignments/C1.sorted.bam" "alignments/C2.sorted.bam" "alignments/C3.sorted.bam" "alignments/E1.sorted.bam" "alignments/E2.sorted.bam" "alignments/E3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	alignments/C1.sorted.bam	alignments/C2.sorted.bam	alignments/C3.sorted.bam	alignments/E1.sorted.bam	alignments/E2.sorted.bam	alignments/E3.sorted.bam
SAUSA300_RS00120	NC_007793.1	28820	29608	+	789	5220	3081	6400	5826	6048	6215
SAUSA300_RS00125	NC_007793.1	29998	30798	+	801	1585	897	2336	1093	988	1159
SAUSA300_RS00130	NC_007793.1	31026	33344	+	2319	1770	1000	1370	272	177	159
SAUSA300_RS00135	NC_007793.1	33712	34191	+	480	729	469	1378	384	362	367
SAUSA300_RS00140	NC_007793.1	34513	35769	+	1257	1994	1263	2627	1397	1322	1454
SAUSA300_RS00145	NC_007793.1	35877	36551	-	675	4048	2294	5945	1820	1605	1661
SAUSA300_RS14955	NC_007793.1	36587	36976	+	390	503	335	393	283	264	273
SAUSA300_RS00155	NC_007793.1	37813	38556	+	744	667	400	783	945	744	1016
SAUSA300_RS00160	NC_007793.1	38653	39081	+	429	409	211	412	208	151	141
SAUSA300_RS00165	NC_007793.1	39127	41136	-	2010	7147	4479	8375	4196	3914	3746
SAUSA300_RS00170	NC_007793.1	41233	42219	+	987	4792	2795	6819	4700	4890	4344
SAUSA300_RS00185	NC_007793.1	44101	44607	-	507	35	17	47	32	26	19
SAUSA300_RS00190	NC_007793.1	44622	44933	-	312	12	2	11	37	8	6
SAUSA300_RS00195	NC_007793.1	45020	45370	-	351	35	8	37	27	13	9
SAUSA300_RS00200	NC_007793.1	45892	47520	-	1629	1056	629	1462	1638	1330	1630
SAUSA300_RS00205	NC_007793.1	47542	48891	-	1350	663	452	1273	758	710	793
SAUSA300_RS00210	NC_007793.1	49125	50912	-	1788	647	362	927	334	275	331
SAUSA300_RS00215	NC_007793.1	50912	51202	-	291	71	39	101	39	32	25
SAUSA300_RS00220	NC_007793.1	51341	52390	+	1050	489	243	416	683	634	579
SAUSA300_RS00225	NC_007793.1	53118	54608	+	1491	2755	1551	3126	4499	4701	4030
SAUSA300_RS15865	NC_007793.1	56355	56492	+	138	18	10	23	2	0	0
SAUSA300_RS00240	NC_007793.1	56489	56860	+	372	70	45	85	32	23	17
SAUSA300_RS00245	NC_007793.1	56989	57609	+	621	5198	2746	8686	3663	2743	4207
SAUSA300_RS15870	NC_007793.1	58526	58696	-	171	13	29	29	20	5	4
SAUSA300_RS00250	NC_007793.1	59098	60063	+	966	861	342	508	312	280	247
SAUSA300_RS00255	NC_007793.1	60160	60351	+	192	152	94	144	90	67	80
SAUSA300_RS00260	NC_007793.1	60443	60772	+	330	255	134	240	186	149	157
SAUSA300_RS00265	NC_007793.1	60849	61208	-	360	379	159	372	264	293	269
SAUSA300_RS00275	NC_007793.1	63100	63597	-	498	1478	916	2010	1018	979	926
SAUSA300_RS16055	NC_007793.1	63785	63913	-	129	0	2	2	2	1	1
SAUSA300_RS00280	NC_007793.1	64095	65222	+	1128	526	337	1045	22427	27805	23791
SAUSA300_RS00285	NC_007793.1	65477	65701	-	225	11	4	16	109	83	90
SAUSA300_RS00290	NC_007793.1	65715	66218	-	504	46	36	63	268	262	255
SAUSA300_RS00295	NC_007793.1	66234	66545	-	312	29	23	48	90	49	53
SAUSA300_RS00300	NC_007793.1	66632	66982	-	351	44	28	46	105	62	56
SAUSA300_RS00310	NC_007793.1	68890	69819	-	930	530	277	653	1704	1810	1817
SAUSA300_RS00315	NC_007793.1	69839	70837	-	999	359	190	510	1294	1515	1311
SAUSA300_RS00320	NC_007793.1	70875	71564	-	690	110	59	124	373	353	357
SAUSA300_RS00325	NC_007793.1	71606	73027	-	1422	560	331	916	1019	851	887
SAUSA300_RS00330	NC_007793.1	73113	74348	-	1236	3040	1764	4935	1744	1390	1434
SAUSA300_RS00335	NC_007793.1	74617	75063	-	447	87	65	73	185	116	108
SAUSA300_RS00340	NC_007793.1	75565	75996	+	432	985	684	2503	4004	4980	4009
SAUSA300_RS14985	NC_007793.1	76269	76942	+	674	2168	1167	2996	1156	1054	1094
SAUSA300_RS00355	NC_007793.1	77130	77945	+	816	767	483	880	4994	5555	4128
SAUSA300_RS00360	NC_007793.1	78246	79445	+	1200	825	468	932	780	717	647
SAUSA300_RS00365	NC_007793.1	79705	80397	+	693	416	220	411	775	537	582
SAUSA300_RS00370	NC_007793.1	80394	81947	+	1554	1017	618	1078	4134	3151	3216
SAUSA300_RS00375	NC_007793.1	81950	82906	+	957	644	387	748	2801	2321	2483
SAUSA300_RS00380	NC_007793.1	82906	83673	+	768	608	333	672	2146	1654	1854
SAUSA300_RS00385	NC_007793.1	83640	84407	+	768	501	348	564	1454	992	1055
SAUSA300_RS00390	NC_007793.1	84400	85035	+	636	491	266	500	659	523	550
SAUSA300_RS00395	NC_007793.1	86055	88118	+	2064	6517	3782	7032	226531	227253	242370
SAUSA300_RS00400	NC_007793.1	88136	88681	+	546	1952	1232	2113	76168	75979	78622
SAUSA300_RS00405	NC_007793.1	89109	89243	-	135	32	25	33	76	66	61
SAUSA300_RS00410	NC_007793.1	89207	89299	+	93	22	10	13	51	27	40
SAUSA300_RS00415	NC_007793.1	89446	91197	+	1752	2275	1213	2112	2806	2321	1856
SAUSA300_RS00425	NC_007793.1	91759	91860	-	102	114	60	85	89	60	61
SAUSA300_RS00430	NC_007793.1	91958	92713	-	756	465	288	442	495	438	290
SAUSA300_RS00435	NC_007793.1	92713	92973	-	261	82	83	86	131	118	90
SAUSA300_RS00440	NC_007793.1	93110	94177	+	1068	231	155	204	3699	3031	4027
SAUSA300_RS00445	NC_007793.1	94208	95542	+	1335	284	178	498	6454	5291	7197
SAUSA300_RS00460	NC_007793.1	97421	98407	-	987	4860	2810	7248	647	539	544
SAUSA300_RS00465	NC_007793.1	98716	98919	+	204	106	55	128	23	21	18
SAUSA300_RS00470	NC_007793.1	98968	99264	+	297	280	150	466	112	56	63
SAUSA300_RS00475	NC_007793.1	99336	100556	-	1221	649	345	647	119	72	47
SAUSA300_RS00485	NC_007793.1	101212	102072	+	861	362	195	397	939	850	849
SAUSA300_RS00490	NC_007793.1	102427	102960	-	534	110	64	174	76	18	14
SAUSA300_RS00495	NC_007793.1	103051	103794	+	744	256	156	375	94	66	51
SAUSA300_RS00500	NC_007793.1	104228	104830	+	603	517	263	577	95	58	79
SAUSA300_RS00505	NC_007793.1	105097	108249	+	3153	1705	1053	2162	591	487	374
SAUSA300_RS00510	NC_007793.1	108306	108788	+	483	657	389	673	187	173	143
SAUSA300_RS00515	NC_007793.1	108993	109979	+	987	250	164	220	62	20	8
SAUSA300_RS00520	NC_007793.1	110200	110970	+	771	114	52	138	59	18	14
SAUSA300_RS00525	NC_007793.1	111022	111792	+	771	250	152	238	154	32	37
SAUSA300_RS00530	NC_007793.1	111856	112626	+	771	245	116	229	122	52	43
SAUSA300_RS00535	NC_007793.1	112690	113460	+	771	297	163	257	112	52	64
SAUSA300_RS00540	NC_007793.1	113554	115791	+	2238	2477	1460	3408	1240	916	976
SAUSA300_RS00545	NC_007793.1	115942	117120	+	1179	243	152	308	579	692	426
SAUSA300_RS00550	NC_007793.1	117122	118510	+	1389	351	222	362	845	965	748
SAUSA300_RS00555	NC_007793.1	119003	120664	-	1662	4085	2740	4182	331	258	189
SAUSA300_RS00560	NC_007793.1	120990	122765	-	1776	485	320	698	305	270	236
SAUSA300_RS00565	NC_007793.1	122939	123811	-	873	90	60	67	57	4	0
SAUSA300_RS00570	NC_007793.1	123924	125321	+	1398	250	104	154	77	2	4
SAUSA300_RS00575	NC_007793.1	125511	125984	+	474	232	111	355	84	69	56
SAUSA300_RS00580	NC_007793.1	126246	127838	+	1593	6081	3450	7109	975	969	700
SAUSA300_RS00585	NC_007793.1	128167	129693	-	1527	119138	77787	117059	26332	22551	17945
SAUSA300_RS00590	NC_007793.1	130114	130866	-	753	5418	3611	8978	1753	1617	1513
SAUSA300_RS00595	NC_007793.1	131235	132233	-	999	1166	724	1548	2177	1921	1932
SAUSA300_RS00600	NC_007793.1	132230	133225	-	996	422	243	463	381	274	306
SAUSA300_RS00605	NC_007793.1	133241	134233	-	993	524	307	395	403	227	258
SAUSA300_RS00610	NC_007793.1	134464	135444	+	981	25	5	28	597	350	354
SAUSA300_RS00615	NC_007793.1	135441	136451	+	1011	29	11	15	657	488	527
SAUSA300_RS00620	NC_007793.1	136472	138226	+	1755	93	46	136	1421	1259	1496
SAUSA300_RS00625	NC_007793.1	138219	139475	+	1257	88	67	96	956	715	1004
SAUSA300_RS00630	NC_007793.1	139465	141201	+	1737	153	71	167	1077	996	1329
SAUSA300_RS00635	NC_007793.1	141110	142960	+	1851	167	126	233	1099	1143	1393
SAUSA300_RS00640	NC_007793.1	142935	143711	+	777	119	65	114	451	403	527
SAUSA300_RS00645	NC_007793.1	143711	144913	+	1203	223	123	229	681	686	895
SAUSA300_RS00650	NC_007793.1	144917	145681	+	765	263	113	253	631	573	749
SAUSA300_RS00660	NC_007793.1	145877	146284	+	408	80	89	162	41	20	8
SAUSA300_RS00665	NC_007793.1	146334	146960	+	627	212	119	205	43	10	13
SAUSA300_RS00670	NC_007793.1	147172	147948	+	777	1485	984	3527	15465	15910	17090
SAUSA300_RS00675	NC_007793.1	148092	148214	+	123	5	2	11	19	8	4
SAUSA300_RS00680	NC_007793.1	148284	149264	+	981	142	86	247	98	33	34
SAUSA300_RS00685	NC_007793.1	149227	149919	+	693	48	19	80	35	8	5
SAUSA300_RS00690	NC_007793.1	150129	151295	+	1167	184	84	139	47	6	10
SAUSA300_RS00695	NC_007793.1	151276	152514	+	1239	198	118	233	70	21	20
SAUSA300_RS00700	NC_007793.1	152504	153934	+	1431	728	492	1188	492	376	445
SAUSA300_RS00705	NC_007793.1	154202	154801	+	600	1832	1263	2384	3411	3251	3046
SAUSA300_RS15960	NC_007793.1	155757	155894	+	138	3854	3189	14506	3237	3050	3290
SAUSA300_RS00715	NC_007793.1	156086	156841	-	756	908	545	1369	249	181	185
SAUSA300_RS00725	NC_007793.1	157077	157784	+	708	224	207	902	249	274	213
SAUSA300_RS00730	NC_007793.1	157791	159143	+	1353	563	279	701	912	920	749
SAUSA300_RS00735	NC_007793.1	159224	159886	+	663	1602	931	2311	2688	2571	2890
SAUSA300_RS00740	NC_007793.1	159914	161092	+	1179	4408	2601	5407	7781	7717	7466
SAUSA300_RS00745	NC_007793.1	161223	162038	-	816	127	85	169	73	44	16
SAUSA300_RS00750	NC_007793.1	162035	162835	-	801	60	47	93	34	21	23
SAUSA300_RS00755	NC_007793.1	162837	163610	-	774	55	20	76	22	9	4
SAUSA300_RS00760	NC_007793.1	163824	164780	-	957	66	24	45	38	9	11
SAUSA300_RS00765	NC_007793.1	165009	166553	+	1545	119	47	116	81	23	30
SAUSA300_RS00770	NC_007793.1	166604	168139	+	1536	544	321	887	339	297	240
SAUSA300_RS00790	NC_007793.1	169643	169969	+	327	149	115	226	119	39	41
SAUSA300_RS00800	NC_007793.1	171207	173816	+	2610	443	289	785	143	73	72
SAUSA300_RS00805	NC_007793.1	174161	174829	+	669	25	24	34	55	4	10
SAUSA300_RS00810	NC_007793.1	174845	175531	+	687	73	31	76	40	11	13
SAUSA300_RS00815	NC_007793.1	175534	176298	+	765	49	19	58	52	6	22
SAUSA300_RS00825	NC_007793.1	178132	179160	+	1029	47	33	50	85	47	21
SAUSA300_RS00830	NC_007793.1	179173	180282	+	1110	62	39	58	92	50	48
SAUSA300_RS00835	NC_007793.1	180286	181410	+	1125	67	38	82	124	50	59
SAUSA300_RS00840	NC_007793.1	181413	182039	+	627	62	25	52	37	28	38
SAUSA300_RS00845	NC_007793.1	182044	183153	+	1110	167	101	164	102	76	71
SAUSA300_RS00850	NC_007793.1	183167	184333	+	1167	207	123	159	138	73	73
SAUSA300_RS00855	NC_007793.1	184326	185531	+	1206	123	62	92	115	79	100
SAUSA300_RS00860	NC_007793.1	185532	186737	+	1206	155	108	177	226	162	175
SAUSA300_RS00865	NC_007793.1	186748	187305	+	558	131	81	134	152	121	107
SAUSA300_RS00870	NC_007793.1	187305	188192	+	888	223	104	249	255	204	239
SAUSA300_RS00875	NC_007793.1	188246	189508	+	1263	436	236	451	411	382	407
SAUSA300_RS00880	NC_007793.1	189585	190730	+	1146	818	461	866	680	520	558
SAUSA300_RS00885	NC_007793.1	190795	191121	-	327	158	80	239	1069	949	1011
SAUSA300_RS00890	NC_007793.1	191128	191511	-	384	164	95	259	878	644	815
SAUSA300_RS00895	NC_007793.1	191938	193425	+	1488	555	459	1282	69232	49004	68210
SAUSA300_RS00900	NC_007793.1	194071	195030	+	960	285	209	373	643	487	450
SAUSA300_RS00905	NC_007793.1	195092	195295	-	204	45	30	122	84	44	60
SAUSA300_RS00910	NC_007793.1	195474	195986	+	513	100	66	137	785	957	707
SAUSA300_RS00915	NC_007793.1	196328	197068	+	741	115	44	101	550	546	479
SAUSA300_RS00920	NC_007793.1	197082	198056	+	975	140	81	144	672	714	604
SAUSA300_RS00925	NC_007793.1	198053	198814	+	762	110	80	154	567	474	392
SAUSA300_RS00930	NC_007793.1	198827	199858	+	1032	242	154	272	1277	1209	1150
SAUSA300_RS00935	NC_007793.1	200075	200434	+	360	911	497	929	861	971	791
SAUSA300_RS00940	NC_007793.1	200607	201632	+	1026	231	137	246	137	119	120
SAUSA300_RS00945	NC_007793.1	202018	203268	+	1251	612	415	853	284	226	237
SAUSA300_RS00950	NC_007793.1	203715	210890	+	7176	6500	3361	7216	3540	3310	3432
SAUSA300_RS00955	NC_007793.1	210903	211547	+	645	1079	670	1393	552	501	592
SAUSA300_RS00960	NC_007793.1	211875	212354	-	480	822	666	2778	141	96	129
SAUSA300_RS00965	NC_007793.1	212624	213388	-	765	377	218	416	82	59	71
SAUSA300_RS00970	NC_007793.1	213404	214645	-	1242	441	230	529	108	78	85
SAUSA300_RS00975	NC_007793.1	214657	215688	-	1032	216	150	310	65	42	41
SAUSA300_RS00980	NC_007793.1	215727	216911	-	1185	210	126	261	87	46	29
SAUSA300_RS00985	NC_007793.1	217164	218519	-	1356	4076	2478	5586	1522	1373	1076
SAUSA300_RS00990	NC_007793.1	218795	219352	-	558	659	360	814	9373	8090	8315
SAUSA300_RS00995	NC_007793.1	219419	221059	-	1641	2195	1335	2444	29091	22430	24502
SAUSA300_RS01000	NC_007793.1	221253	221354	+	102	20	16	30	6	3	3
SAUSA300_RS01005	NC_007793.1	221333	223378	-	2046	29226	16908	44656	5165	4243	4435
SAUSA300_RS01010	NC_007793.1	223964	225019	+	1056	522	382	1783	438	335	316
SAUSA300_RS01015	NC_007793.1	225019	225915	+	897	233	162	488	331	240	239
SAUSA300_RS01020	NC_007793.1	225927	227381	+	1455	377	199	668	828	595	629
SAUSA300_RS01025	NC_007793.1	227384	228259	+	876	207	110	390	720	620	658
SAUSA300_RS01030	NC_007793.1	228453	228734	-	282	52	29	91	57	61	32
SAUSA300_RS01035	NC_007793.1	228947	231736	+	2790	5779	3347	8401	2228	1879	1715
SAUSA300_RS01040	NC_007793.1	231941	232783	+	843	2118	1421	3680	726	688	694
SAUSA300_RS01045	NC_007793.1	232785	233708	+	924	1452	865	2311	829	752	734
SAUSA300_RS01050	NC_007793.1	233695	234807	+	1113	1713	982	2255	1617	1475	1299
SAUSA300_RS01055	NC_007793.1	235072	236664	-	1593	281	178	380	897	853	822
SAUSA300_RS01060	NC_007793.1	236621	238099	+	1479	126	84	194	170	105	103
SAUSA300_RS01065	NC_007793.1	238105	239268	+	1164	61	35	83	315	229	134
SAUSA300_RS01070	NC_007793.1	239285	241060	+	1776	150	115	189	957	835	695
SAUSA300_RS01075	NC_007793.1	241098	243104	+	2007	620	340	814	2979	2694	2254
SAUSA300_RS01080	NC_007793.1	243402	244175	-	774	324	157	432	5277	5036	5039
SAUSA300_RS01085	NC_007793.1	244365	244991	-	627	1092	718	1666	48112	55028	56806
SAUSA300_RS01090	NC_007793.1	245200	245778	+	579	155	82	196	2448	1714	2394
SAUSA300_RS01095	NC_007793.1	246161	247258	+	1098	708	500	1856	305	169	169
SAUSA300_RS01100	NC_007793.1	247271	248542	+	1272	647	384	1668	681	601	556
SAUSA300_RS01105	NC_007793.1	248545	249813	+	1269	425	201	1077	1246	1297	1203
SAUSA300_RS01110	NC_007793.1	249815	250654	+	840	251	156	430	1229	1121	1036
SAUSA300_RS01115	NC_007793.1	250728	251804	+	1077	436	218	554	1704	2082	1950
SAUSA300_RS01120	NC_007793.1	251829	252869	+	1041	406	191	452	1586	1920	1719
SAUSA300_RS01125	NC_007793.1	252924	253892	+	969	537	257	608	2177	2697	2360
SAUSA300_RS01130	NC_007793.1	254254	254748	-	495	1471	1003	1416	30	29	19
SAUSA300_RS01135	NC_007793.1	254981	256360	+	1380	317	424	3434	219	147	415
SAUSA300_RS01140	NC_007793.1	256719	257477	-	759	597	398	785	216	215	190
SAUSA300_RS01145	NC_007793.1	257470	259026	-	1557	880	540	1032	187	168	184
SAUSA300_RS01150	NC_007793.1	259023	259991	-	969	387	244	690	124	55	53
SAUSA300_RS01155	NC_007793.1	260579	262828	+	2250	2896	2679	13209	1086	815	8177
SAUSA300_RS01160	NC_007793.1	262851	263606	+	756	345	209	666	250	306	1756
SAUSA300_RS01170	NC_007793.1	263942	265705	+	1764	1102	645	1205	157	94	146
SAUSA300_RS01175	NC_007793.1	265869	266213	-	345	231	230	654	76	68	50
SAUSA300_RS01180	NC_007793.1	266403	268232	+	1830	5173	3014	6630	317	197	184
SAUSA300_RS01185	NC_007793.1	268414	268521	-	108	113	62	154	12	7	14
SAUSA300_RS01195	NC_007793.1	268835	270019	-	1185	117	74	206	423	455	447
SAUSA300_RS01200	NC_007793.1	270049	272310	-	2262	119	64	139	610	716	651
SAUSA300_RS01205	NC_007793.1	272496	273707	-	1212	35	3	52	320	388	374
SAUSA300_RS01210	NC_007793.1	273819	275324	-	1506	59	50	133	550	490	507
SAUSA300_RS01215	NC_007793.1	275350	276927	-	1578	421	258	767	1507	1018	1137
SAUSA300_RS01220	NC_007793.1	277368	278510	+	1143	1066	650	1161	258	157	173
SAUSA300_RS01225	NC_007793.1	278824	280299	-	1476	273	177	362	285	213	335
SAUSA300_RS01230	NC_007793.1	280497	280853	-	357	97	54	181	76	51	147
SAUSA300_RS01235	NC_007793.1	281010	281183	-	174	61	38	95	249	251	387
SAUSA300_RS01240	NC_007793.1	281209	282354	-	1146	732	468	1458	3471	2937	5283
SAUSA300_RS01245	NC_007793.1	282509	282616	+	108	10	4	10	2	3	4
SAUSA300_RS01250	NC_007793.1	282927	283880	+	954	12332	10987	50747	620	206	1403
SAUSA300_RS16065	NC_007793.1	284048	284173	-	126	184	126	187	12	2	14
SAUSA300_RS01260	NC_007793.1	284200	285729	-	1530	1284	779	1227	277	232	242
SAUSA300_RS01265	NC_007793.1	286091	287026	+	936	630	386	455	186	135	100
SAUSA300_RS01270	NC_007793.1	287136	287234	+	99	0	2	6	1	1	0
SAUSA300_RS01275	NC_007793.1	287365	289461	+	2097	123	82	156	113	48	72
SAUSA300_RS01280	NC_007793.1	289446	289913	+	468	18	9	20	21	7	23
SAUSA300_RS01285	NC_007793.1	289936	290214	+	279	19	11	17	12	22	4
SAUSA300_RS01290	NC_007793.1	290441	291700	+	1260	87	33	78	136	113	87
SAUSA300_RS01295	NC_007793.1	291718	292773	+	1056	112	51	90	158	149	180
SAUSA300_RS01300	NC_007793.1	292775	292921	+	147	13	11	14	30	32	36
SAUSA300_RS01305	NC_007793.1	292945	293988	+	1044	226	138	363	408	339	391
SAUSA300_RS01310	NC_007793.1	294516	295232	+	717	2497	1562	3723	1426	1081	1140
SAUSA300_RS01315	NC_007793.1	295225	296250	+	1026	4179	2225	4741	1865	1483	1550
SAUSA300_RS01320	NC_007793.1	296272	297966	+	1695	7127	4080	8640	4626	4009	4181
SAUSA300_RS01325	NC_007793.1	298394	299563	+	1170	1931	1084	2405	822	573	642
SAUSA300_RS01330	NC_007793.1	299839	300555	+	717	2183	1080	3005	1627	1490	1419
SAUSA300_RS01335	NC_007793.1	300548	301573	+	1026	4625	2461	5202	4184	4456	3822
SAUSA300_RS01340	NC_007793.1	301595	303283	+	1689	10574	5992	11709	8893	9347	8449
SAUSA300_RS01345	NC_007793.1	303316	305040	+	1725	20114	11689	24508	13843	13635	13620
SAUSA300_RS01350	NC_007793.1	305180	305854	+	675	449	242	823	229	221	211
SAUSA300_RS01355	NC_007793.1	306101	307855	+	1755	1724	890	1836	433	306	254
SAUSA300_RS01360	NC_007793.1	307858	308598	+	741	627	268	374	65	34	26
SAUSA300_RS01365	NC_007793.1	308711	309154	+	444	80	80	981	31	47	42
SAUSA300_RS01370	NC_007793.1	309147	309848	+	702	203	149	729	194	180	194
SAUSA300_RS01375	NC_007793.1	309956	310660	-	705	1747	1093	2260	260	306	237
SAUSA300_RS01380	NC_007793.1	310809	311600	+	792	115	68	122	112	72	74
SAUSA300_RS01385	NC_007793.1	311616	313052	+	1437	348	195	343	192	124	88
SAUSA300_RS01395	NC_007793.1	313486	314247	-	762	174	93	224	82	56	65
SAUSA300_RS01400	NC_007793.1	314266	314400	+	135	9	1	13	3	1	11
SAUSA300_RS01405	NC_007793.1	314498	315412	-	915	470	301	872	234	163	197
SAUSA300_RS01410	NC_007793.1	315440	315844	-	405	215	153	455	98	50	78
SAUSA300_RS01415	NC_007793.1	315859	316740	-	882	468	312	1128	128	105	83
SAUSA300_RS01420	NC_007793.1	316972	317970	-	999	452	285	824	187	122	102
SAUSA300_RS15040	NC_007793.1	318121	318300	+	180	10	9	19	35	4	1
SAUSA300_RS01430	NC_007793.1	318350	318742	+	393	474	269	654	101	104	89
SAUSA300_RS01440	NC_007793.1	319415	320791	-	1377	522	274	950	2335	1472	2217
SAUSA300_RS01445	NC_007793.1	321025	322017	+	993	300	149	331	2227	2163	2094
SAUSA300_RS01450	NC_007793.1	322343	323293	+	951	645	389	953	3132	2754	2945
SAUSA300_RS01455	NC_007793.1	323345	324004	-	660	627	391	710	91	69	50
SAUSA300_RS01460	NC_007793.1	324018	324938	-	921	676	318	696	75	56	27
SAUSA300_RS01465	NC_007793.1	324935	326101	-	1167	656	394	629	68	37	33
SAUSA300_RS01470	NC_007793.1	326169	327692	-	1524	3026	1654	2956	110	112	84
SAUSA300_RS01475	NC_007793.1	327963	328616	+	654	181	111	284	67	21	25
SAUSA300_RS01480	NC_007793.1	328650	329237	+	588	316	165	373	56	34	45
SAUSA300_RS01485	NC_007793.1	329380	330273	-	894	286	230	478	54	19	32
SAUSA300_RS01490	NC_007793.1	330521	330814	+	294	6466	4712	11530	6964	7353	8221
SAUSA300_RS01495	NC_007793.1	330898	333927	+	3030	1300	735	1385	121	72	65
SAUSA300_RS01500	NC_007793.1	333927	334385	+	459	250	170	263	33	17	25
SAUSA300_RS01505	NC_007793.1	334357	334599	+	243	29	19	20	5	6	4
SAUSA300_RS01510	NC_007793.1	334612	335946	+	1335	185	101	139	51	25	18
SAUSA300_RS01515	NC_007793.1	335968	340407	+	4440	1022	480	712	307	159	153
SAUSA300_RS01520	NC_007793.1	340437	340829	+	393	129	60	88	71	34	23
SAUSA300_RS01525	NC_007793.1	340845	341159	+	315	111	56	83	78	27	16
SAUSA300_RS01530	NC_007793.1	341159	341833	+	675	216	109	158	76	38	38
SAUSA300_RS01535	NC_007793.1	341833	342150	+	318	113	38	73	29	14	22
SAUSA300_RS01540	NC_007793.1	342160	344004	+	1845	2772	1407	2738	1033	731	994
SAUSA300_RS01545	NC_007793.1	344015	344506	+	492	2825	1478	3171	1896	1813	1981
SAUSA300_RS01550	NC_007793.1	344714	345397	+	684	329	166	361	82	40	58
SAUSA300_RS01555	NC_007793.1	345544	346155	+	612	535	260	546	120	63	68
SAUSA300_RS01560	NC_007793.1	346291	346509	+	219	257	128	382	50	43	47
SAUSA300_RS01565	NC_007793.1	346641	347141	+	501	56	43	80	90	22	14
SAUSA300_RS01570	NC_007793.1	347152	347652	+	501	111	60	106	70	29	23
SAUSA300_RS01580	NC_007793.1	348169	348660	+	492	181	82	200	140	82	63
SAUSA300_RS01585	NC_007793.1	348870	349553	+	684	209	117	224	109	66	64
SAUSA300_RS01590	NC_007793.1	350139	350639	+	501	1604	659	771	190	156	128
SAUSA300_RS01595	NC_007793.1	350651	351151	+	501	996	441	672	174	141	125
SAUSA300_RS01600	NC_007793.1	351162	351662	+	501	907	392	561	172	141	101
SAUSA300_RS01605	NC_007793.1	351673	352173	+	501	1032	513	789	179	142	102
SAUSA300_RS01610	NC_007793.1	352184	352672	+	489	727	338	666	126	69	72
SAUSA300_RS01615	NC_007793.1	353295	353669	+	375	440	244	515	52	40	36
SAUSA300_RS01620	NC_007793.1	353822	354220	+	399	571	296	899	173	159	147
SAUSA300_RS01625	NC_007793.1	354436	355260	-	825	498	414	1404	168	66	112
